Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0180"
"0.1000","0.0007","0.0183"
"0.2000","0.0034","0.0199"
"0.3000","0.0153","0.0277"
"0.4000","0.0244","0.0332"
"0.5000","0.0331","0.0388"
"0.6000","0.0411","0.0436"
"0.7000","0.0495","0.0489"
"0.8000","0.0577","0.0539"
"0.9000","0.0662","0.0594"
"1.0000","0.0744","0.0642"
"1.1000","0.0832","0.0696"
"1.2000","0.0913","0.0746"
"1.3000","0.0996","0.0795"
"1.4000","0.1078","0.0846"
"1.5000","0.1163","0.0896"
"1.6000","0.1246","0.0946"
"1.7000","0.1331","0.0998"
"1.8000","0.1412","0.1045"
"1.9000","0.1494","0.1097"
"2.0000","0.1577","0.1147"
"2.1000","0.1661","0.1196"
"2.2000","0.1747","0.1245"
"2.3000","0.1831","0.1297"
"2.4000","0.1913","0.1340"
"2.5000","0.1995","0.1389"
"2.6000","0.2078","0.1439"
"2.7000","0.2161","0.1485"
"2.8000","0.2248","0.1536"
"2.9000","0.2329","0.1581"
"3.0000","0.2412","0.1627"
"3.1000","0.2493","0.1675"
"3.2000","0.2578","0.1720"
"3.3000","0.2660","0.1766"
"3.4000","0.2749","0.1816"
"3.5000","0.2829","0.1858"
"3.6000","0.2914","0.1905"
"3.7000","0.2994","0.1950"
"3.8000","0.3076","0.1993"
"3.9000","0.3159","0.2036"
"4.0000","0.3248","0.2085"
"4.1000","0.3328","0.2126"
"4.2000","0.3411","0.2171"
"4.3000","0.3492","0.2211"
"4.4000","0.3577","0.2255"
"4.5000","0.3662","0.2299"
"4.6000","0.3748","0.2342"
"4.7000","0.3831","0.2383"
"4.8000","0.3914","0.2427"
"4.9000","0.3995","0.2466"
"5.0000","0.4078","0.2505"
"5.1000","0.4165","0.2548"
"5.2000","0.4247","0.2587"
"5.3000","0.4327","0.2623"
"5.4000","0.4412","0.2663"
"5.5000","0.4496","0.2701"
"5.6000","0.4576","0.2739"
"5.7000","0.4667","0.2781"
"5.8000","0.4747","0.2816"
"5.9000","0.4830","0.2852"
"6.0000","0.4913","0.2889"
"6.1000","0.4995","0.2921"
"6.2000","0.5076","0.2956"
"6.3000","0.5167","0.2994"
"6.4000","0.5244","0.3026"
"6.5000","0.5328","0.3061"
"6.6000","0.5412","0.3091"
"6.7000","0.5493","0.3126"
"6.8000","0.5579","0.3158"
"6.9000","0.5667","0.3192"
"7.0000","0.5743","0.3220"
"7.1000","0.5830","0.3253"
"7.2000","0.5912","0.3283"
"7.3000","0.5991","0.3311"
"7.4000","0.6080","0.3344"
"7.5000","0.6164","0.3373"
"7.6000","0.6241","0.3398"
"7.7000","0.6328","0.3431"
"7.8000","0.6411","0.3459"
"7.9000","0.6492","0.3484"
"8.0000","0.6583","0.3519"
"8.1000","0.6664","0.3542"
"8.2000","0.6746","0.3571"
"8.3000","0.6830","0.3597"
"8.4000","0.6912","0.3621"
"8.5000","0.6993","0.3648"
"8.6000","0.7083","0.3678"
"8.7000","0.7161","0.3700"
"8.8000","0.7244","0.3726"
"8.9000","0.7329","0.3749"
"9.0000","0.7410","0.3773"
"9.1000","0.7496","0.3799"
"9.2000","0.7584","0.3822"
"9.3000","0.7661","0.3844"
"9.4000","0.7748","0.3871"
"9.5000","0.7829","0.3890"
"9.6000","0.7908","0.3909"
"9.7000","0.7997","0.3935"
"9.8000","0.8082","0.3959"
"9.9000","0.8160","0.3976"
"10.0000","0.8246","0.3998"
"10.1000","0.8328","0.4018"
"10.2000","0.8408","0.4036"
"10.3000","0.8499","0.4062"
"10.4000","0.8581","0.4080"
"10.5000","0.8662","0.4097"
"10.6000","0.8747","0.4115"
"10.7000","0.8827","0.4133"
"10.8000","0.8909","0.4152"
"10.9000","0.8997","0.4171"
"11.0000","0.9078","0.4189"
"11.1000","0.9163","0.4204"
"11.2000","0.9245","0.4222"
"11.3000","0.9325","0.4237"
"11.4000","0.9413","0.4257"
"11.5000","0.9499","0.4275"
"11.6000","0.9577","0.4287"
"11.7000","0.9665","0.4303"
"11.8000","0.9747","0.4319"
"11.9000","0.9825","0.4331"
"12.0000","0.9914","0.4346"
"12.1000","0.9999","0.4363"
"12.2000","1.0076","0.4373"
"12.3000","1.0164","0.4386"
"12.4000","1.0243","0.4401"
"12.5000","1.0325","0.4409"
"12.6000","1.0414","0.4423"
"12.7000","1.0496","0.4436"
"12.8000","1.0578","0.4445"
"12.9000","1.0664","0.4457"
"13.0000","1.0742","0.4463"
"13.1000","1.0827","0.4473"
"13.2000","1.0915","0.4484"
"13.3000","1.0996","0.4492"
"13.4000","1.1079","0.4496"
"13.5000","1.1163","0.4505"
"13.6000","1.1242","0.4508"
"13.7000","1.1330","0.4515"
"13.8000","1.1416","0.4522"
"13.9000","1.1496","0.4520"
"14.0000","1.1583","0.4525"
"14.1000","1.1665","0.4522"
"14.2000","1.1743","0.4519"
"14.3000","1.1831","0.4521"
"14.4000","1.1915","0.4515"
"14.5000","1.1995","0.4512"
"14.6000","1.2081","0.4511"
"14.7000","1.2161","0.4501"
"14.8000","1.2242","0.4495"
"14.9000","1.2330","0.4495"
"15.0000","1.2414","0.4492"
"15.1000","1.2496","0.4486"
"15.2000","1.2582","0.4481"
"15.3000","1.2660","0.4473"
"15.4000","1.2745","0.4471"
"15.5000","1.2830","0.4466"
"15.6000","1.2911","0.4459"
"15.7000","1.2996","0.4457"
"15.8000","1.3079","0.4453"
"15.9000","1.3157","0.4443"
"16.0000","1.3245","0.4444"
"16.1000","1.3329","0.4439"
"16.2000","1.3411","0.4436"
"16.3000","1.3497","0.4432"
"16.4000","1.3581","0.4427"
"16.5000","1.3659","0.4423"
"16.6000","1.3746","0.4421"
"16.7000","1.3830","0.4419"
"16.8000","1.3913","0.4415"
"16.9000","1.3996","0.4414"
"17.0000","1.4077","0.4407"
"17.1000","1.4159","0.4404"
"17.2000","1.4247","0.4403"
"17.3000","1.4331","0.4402"
"17.4000","1.4414","0.4399"
"17.5000","1.4499","0.4396"
"17.6000","1.4579","0.4391"
"17.7000","1.4662","0.4388"
"17.8000","1.4746","0.4386"
"17.9000","1.4831","0.4385"
"18.0000","1.4913","0.4381"
"18.1000","1.4996","0.4380"
"18.2000","1.5075","0.4378"
"18.3000","1.5162","0.4377"
"18.4000","1.5246","0.4376"
"18.5000","1.5331","0.4372"
"18.6000","1.5415","0.4375"
"18.7000","1.5499","0.4370"
"18.8000","1.5576","0.4363"
"18.9000","1.5663","0.4364"
"19.0000","1.5745","0.4360"
"19.1000","1.5829","0.4362"
"19.2000","1.5912","0.4359"
"19.3000","1.5995","0.4356"
"19.4000","1.6074","0.4351"
"19.5000","1.6162","0.4353"
"19.6000","1.6244","0.4351"
"19.7000","1.6330","0.4351"
"19.8000","1.6415","0.4352"
"19.9000","1.6494","0.4346"
"20.0000","1.6578","0.4345"
"20.1000","1.6663","0.4346"
"20.2000","1.6743","0.4341"
"20.3000","1.6829","0.4340"
"20.4000","1.6914","0.4338"
