Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0361"
"0.1000","0.0007","0.0362"
"0.2000","0.0031","0.0377"
"0.3000","0.0157","0.0452"
"0.4000","0.0250","0.0512"
"0.5000","0.0332","0.0560"
"0.6000","0.0415","0.0610"
"0.7000","0.0497","0.0660"
"0.8000","0.0582","0.0710"
"0.9000","0.0665","0.0758"
"1.0000","0.0749","0.0806"
"1.1000","0.0832","0.0854"
"1.2000","0.0914","0.0900"
"1.3000","0.0997","0.0945"
"1.4000","0.1083","0.0995"
"1.5000","0.1166","0.1044"
"1.6000","0.1250","0.1088"
"1.7000","0.1335","0.1139"
"1.8000","0.1413","0.1183"
"1.9000","0.1501","0.1231"
"2.0000","0.1582","0.1280"
"2.1000","0.1665","0.1325"
"2.2000","0.1749","0.1374"
"2.3000","0.1833","0.1423"
"2.4000","0.1909","0.1465"
"2.5000","0.2000","0.1514"
"2.6000","0.2081","0.1559"
"2.7000","0.2165","0.1607"
"2.8000","0.2249","0.1652"
"2.9000","0.2331","0.1702"
"3.0000","0.2411","0.1743"
"3.1000","0.2500","0.1792"
"3.2000","0.2581","0.1836"
"3.3000","0.2666","0.1883"
"3.4000","0.2751","0.1928"
"3.5000","0.2831","0.1971"
"3.6000","0.2913","0.2015"
"3.7000","0.3000","0.2062"
"3.8000","0.3082","0.2107"
"3.9000","0.3167","0.2152"
"4.0000","0.3252","0.2198"
"4.1000","0.3330","0.2238"
"4.2000","0.3416","0.2285"
"4.3000","0.3499","0.2327"
"4.4000","0.3582","0.2371"
"4.5000","0.3667","0.2417"
"4.6000","0.3750","0.2459"
"4.7000","0.3827","0.2498"
"4.8000","0.3916","0.2544"
"4.9000","0.3999","0.2586"
"5.0000","0.4081","0.2629"
"5.1000","0.4168","0.2672"
"5.2000","0.4250","0.2714"
"5.3000","0.4329","0.2755"
"5.4000","0.4417","0.2797"
"5.5000","0.4498","0.2839"
"5.6000","0.4582","0.2880"
"5.7000","0.4666","0.2922"
"5.8000","0.4746","0.2960"
"5.9000","0.4828","0.3001"
"6.0000","0.4914","0.3043"
"6.1000","0.4997","0.3081"
"6.2000","0.5083","0.3125"
"6.3000","0.5167","0.3164"
"6.4000","0.5246","0.3204"
"6.5000","0.5332","0.3244"
"6.6000","0.5415","0.3282"
"6.7000","0.5498","0.3323"
"6.8000","0.5583","0.3363"
"6.9000","0.5667","0.3401"
"7.0000","0.5746","0.3436"
"7.1000","0.5833","0.3478"
"7.2000","0.5916","0.3517"
"7.3000","0.5999","0.3553"
"7.4000","0.6084","0.3590"
"7.5000","0.6168","0.3631"
"7.6000","0.6248","0.3666"
"7.7000","0.6333","0.3702"
"7.8000","0.6414","0.3736"
"7.9000","0.6500","0.3779"
"8.0000","0.6583","0.3812"
"8.1000","0.6665","0.3850"
"8.2000","0.6747","0.3883"
"8.3000","0.6832","0.3919"
"8.4000","0.6914","0.3955"
"8.5000","0.7000","0.3993"
"8.6000","0.7084","0.4025"
"8.7000","0.7164","0.4060"
"8.8000","0.7250","0.4096"
"8.9000","0.7332","0.4128"
"9.0000","0.7413","0.4158"
"9.1000","0.7501","0.4194"
"9.2000","0.7581","0.4226"
"9.3000","0.7661","0.4258"
"9.4000","0.7748","0.4289"
"9.5000","0.7830","0.4319"
"9.6000","0.7913","0.4351"
"9.7000","0.8002","0.4385"
"9.8000","0.8082","0.4415"
"9.9000","0.8164","0.4443"
"10.0000","0.8249","0.4470"
"10.1000","0.8330","0.4500"
"10.2000","0.8415","0.4526"
"10.3000","0.8501","0.4555"
"10.4000","0.8580","0.4581"
"10.5000","0.8664","0.4605"
"10.6000","0.8749","0.4631"
"10.7000","0.8829","0.4650"
"10.8000","0.8918","0.4674"
"10.9000","0.9002","0.4695"
"11.0000","0.9080","0.4712"
"11.1000","0.9166","0.4731"
"11.2000","0.9250","0.4743"
"11.3000","0.9329","0.4751"
"11.4000","0.9417","0.4763"
"11.5000","0.9499","0.4768"
"11.6000","0.9579","0.4768"
"11.7000","0.9665","0.4768"
