Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0266"
"0.1000","0.0006","0.0267"
"0.2000","0.0031","0.0283"
"0.3000","0.0143","0.0354"
"0.4000","0.0245","0.0415"
"0.5000","0.0327","0.0465"
"0.6000","0.0410","0.0517"
"0.7000","0.0490","0.0564"
"0.8000","0.0577","0.0616"
"0.9000","0.0660","0.0663"
"1.0000","0.0743","0.0716"
"1.1000","0.0828","0.0766"
"1.2000","0.0908","0.0811"
"1.3000","0.0991","0.0862"
"1.4000","0.1078","0.0913"
"1.5000","0.1159","0.0960"
"1.6000","0.1245","0.1011"
"1.7000","0.1331","0.1061"
"1.8000","0.1407","0.1104"
"1.9000","0.1496","0.1157"
"2.0000","0.1577","0.1203"
"2.1000","0.1659","0.1252"
"2.2000","0.1744","0.1295"
"2.3000","0.1828","0.1340"
"2.4000","0.1905","0.1382"
"2.5000","0.1995","0.1432"
"2.6000","0.2076","0.1478"
"2.7000","0.2159","0.1525"
"2.8000","0.2245","0.1574"
"2.9000","0.2326","0.1620"
"3.0000","0.2406","0.1665"
"3.1000","0.2496","0.1714"
"3.2000","0.2575","0.1760"
"3.3000","0.2661","0.1807"
"3.4000","0.2746","0.1855"
"3.5000","0.2824","0.1897"
"3.6000","0.2907","0.1943"
"3.7000","0.2996","0.1993"
"3.8000","0.3075","0.2035"
"3.9000","0.3162","0.2083"
"4.0000","0.3248","0.2130"
"4.1000","0.3324","0.2170"
"4.2000","0.3411","0.2221"
"4.3000","0.3495","0.2263"
"4.4000","0.3575","0.2307"
"4.5000","0.3662","0.2354"
"4.6000","0.3745","0.2398"
"4.7000","0.3822","0.2437"
"4.8000","0.3911","0.2486"
"4.9000","0.3994","0.2529"
"5.0000","0.4076","0.2571"
"5.1000","0.4163","0.2617"
"5.2000","0.4245","0.2661"
"5.3000","0.4324","0.2698"
"5.4000","0.4412","0.2745"
"5.5000","0.4493","0.2784"
"5.6000","0.4577","0.2829"
"5.7000","0.4662","0.2871"
"5.8000","0.4740","0.2910"
"5.9000","0.4823","0.2952"
"6.0000","0.4910","0.2995"
"6.1000","0.4990","0.3036"
"6.2000","0.5078","0.3081"
"6.3000","0.5163","0.3122"
"6.4000","0.5240","0.3156"
"6.5000","0.5327","0.3202"
"6.6000","0.5410","0.3241"
"6.7000","0.5491","0.3280"
"6.8000","0.5579","0.3321"
"6.9000","0.5662","0.3362"
"7.0000","0.5739","0.3398"
"7.1000","0.5828","0.3438"
"7.2000","0.5911","0.3478"
"7.3000","0.5993","0.3516"
"7.4000","0.6080","0.3556"
"7.5000","0.6163","0.3592"
"7.6000","0.6242","0.3629"
"7.7000","0.6329","0.3671"
"7.8000","0.6408","0.3702"
"7.9000","0.6494","0.3743"
"8.0000","0.6579","0.3780"
"8.1000","0.6659","0.3817"
"8.2000","0.6741","0.3851"
"8.3000","0.6828","0.3889"
"8.4000","0.6908","0.3923"
"8.5000","0.6995","0.3961"
"8.6000","0.7080","0.3996"
"8.7000","0.7159","0.4029"
"8.8000","0.7245","0.4065"
"8.9000","0.7328","0.4101"
"9.0000","0.7407","0.4133"
"9.1000","0.7495","0.4167"
"9.2000","0.7576","0.4199"
"9.3000","0.7655","0.4229"
"9.4000","0.7743","0.4266"
"9.5000","0.7825","0.4297"
"9.6000","0.7907","0.4328"
"9.7000","0.7996","0.4363"
"9.8000","0.8077","0.4390"
"9.9000","0.8157","0.4421"
"10.0000","0.8244","0.4448"
"10.1000","0.8325","0.4480"
"10.2000","0.8410","0.4509"
"10.3000","0.8495","0.4538"
"10.4000","0.8576","0.4562"
"10.5000","0.8659","0.4590"
"10.6000","0.8744","0.4617"
"10.7000","0.8825","0.4639"
"10.8000","0.8912","0.4664"
"10.9000","0.8996","0.4690"
"11.0000","0.9076","0.4709"
"11.1000","0.9161","0.4728"
"11.2000","0.9245","0.4747"
"11.3000","0.9324","0.4763"
"11.4000","0.9412","0.4782"
"11.5000","0.9494","0.4792"
"11.6000","0.9575","0.4801"
"11.7000","0.9660","0.4810"
"11.8000","0.9742","0.4813"
"11.9000","0.9825","0.4813"
"12.0000","0.9913","0.4816"
"12.1000","0.9994","0.4807"
"12.2000","1.0075","0.4800"
"12.3000","1.0161","0.4788"
"12.4000","1.0243","0.4776"
"12.5000","1.0326","0.4762"
"12.6000","1.0412","0.4747"
"12.7000","1.0492","0.4727"
"12.8000","1.0576","0.4705"
"12.9000","1.0658","0.4688"
"13.0000","1.0741","0.4667"
"13.1000","1.0828","0.4650"
"13.2000","1.0912","0.4631"
"13.3000","1.0992","0.4611"
"13.4000","1.1078","0.4590"
"13.5000","1.1159","0.4574"
"13.6000","1.1241","0.4553"
"13.7000","1.1328","0.4541"
"13.8000","1.1412","0.4523"
"13.9000","1.1492","0.4506"
"14.0000","1.1577","0.4490"
"14.1000","1.1660","0.4478"
"14.2000","1.1742","0.4465"
