Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0258"
"0.1000","0.0007","0.0262"
"0.2000","0.0034","0.0276"
"0.3000","0.0151","0.0345"
"0.4000","0.0243","0.0399"
"0.5000","0.0330","0.0447"
"0.6000","0.0410","0.0493"
"0.7000","0.0495","0.0540"
"0.8000","0.0576","0.0587"
"0.9000","0.0661","0.0636"
"1.0000","0.0743","0.0679"
"1.1000","0.0831","0.0730"
"1.2000","0.0912","0.0775"
"1.3000","0.0995","0.0821"
"1.4000","0.1077","0.0865"
"1.5000","0.1162","0.0912"
"1.6000","0.1245","0.0958"
"1.7000","0.1331","0.1004"
"1.8000","0.1412","0.1050"
"1.9000","0.1493","0.1094"
"2.0000","0.1576","0.1141"
"2.1000","0.1660","0.1185"
"2.2000","0.1746","0.1233"
"2.3000","0.1830","0.1276"
"2.4000","0.1913","0.1321"
"2.5000","0.1994","0.1363"
"2.6000","0.2077","0.1408"
"2.7000","0.2160","0.1452"
"2.8000","0.2247","0.1496"
"2.9000","0.2329","0.1540"
"3.0000","0.2412","0.1583"
"3.1000","0.2493","0.1626"
"3.2000","0.2577","0.1669"
"3.3000","0.2660","0.1712"
"3.4000","0.2748","0.1755"
"3.5000","0.2828","0.1797"
"3.6000","0.2913","0.1840"
"3.7000","0.2993","0.1882"
"3.8000","0.3075","0.1921"
"3.9000","0.3158","0.1962"
"4.0000","0.3247","0.2008"
"4.1000","0.3327","0.2044"
"4.2000","0.3411","0.2087"
"4.3000","0.3492","0.2125"
"4.4000","0.3576","0.2165"
"4.5000","0.3661","0.2206"
"4.6000","0.3747","0.2246"
"4.7000","0.3830","0.2288"
"4.8000","0.3913","0.2325"
"4.9000","0.3995","0.2362"
"5.0000","0.4077","0.2400"
"5.1000","0.4165","0.2438"
"5.2000","0.4246","0.2476"
"5.3000","0.4327","0.2510"
"5.4000","0.4411","0.2546"
"5.5000","0.4495","0.2582"
"5.6000","0.4575","0.2616"
"5.7000","0.4666","0.2655"
"5.8000","0.4746","0.2687"
"5.9000","0.4829","0.2718"
"6.0000","0.4913","0.2754"
"6.1000","0.4995","0.2784"
"6.2000","0.5075","0.2815"
"6.3000","0.5166","0.2849"
"6.4000","0.5243","0.2874"
"6.5000","0.5327","0.2906"
"6.6000","0.5411","0.2935"
"6.7000","0.5492","0.2963"
"6.8000","0.5578","0.2994"
"6.9000","0.5666","0.3024"
"7.0000","0.5742","0.3047"
"7.1000","0.5829","0.3076"
"7.2000","0.5911","0.3101"
"7.3000","0.5990","0.3124"
"7.4000","0.6079","0.3154"
"7.5000","0.6163","0.3179"
"7.6000","0.6240","0.3200"
"7.7000","0.6327","0.3227"
"7.8000","0.6410","0.3251"
"7.9000","0.6491","0.3274"
"8.0000","0.6582","0.3301"
"8.1000","0.6663","0.3324"
"8.2000","0.6745","0.3346"
"8.3000","0.6829","0.3369"
"8.4000","0.6911","0.3390"
"8.5000","0.6993","0.3411"
"8.6000","0.7082","0.3438"
"8.7000","0.7161","0.3456"
