Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0273"
"0.1000","0.0008","0.0278"
"0.2000","0.0033","0.0291"
"0.3000","0.0160","0.0367"
"0.4000","0.0250","0.0421"
"0.5000","0.0334","0.0472"
"0.6000","0.0416","0.0518"
"0.7000","0.0498","0.0568"
"0.8000","0.0583","0.0614"
"0.9000","0.0667","0.0663"
"1.0000","0.0750","0.0712"
"1.1000","0.0833","0.0758"
"1.2000","0.0916","0.0806"
"1.3000","0.0998","0.0851"
"1.4000","0.1083","0.0903"
"1.5000","0.1167","0.0949"
"1.6000","0.1251","0.0995"
"1.7000","0.1336","0.1044"
"1.8000","0.1414","0.1091"
"1.9000","0.1502","0.1139"
"2.0000","0.1583","0.1186"
"2.1000","0.1666","0.1229"
"2.2000","0.1750","0.1275"
"2.3000","0.1834","0.1322"
"2.4000","0.1911","0.1366"
"2.5000","0.2001","0.1417"
"2.6000","0.2083","0.1462"
"2.7000","0.2166","0.1508"
"2.8000","0.2250","0.1553"
"2.9000","0.2333","0.1597"
"3.0000","0.2412","0.1641"
"3.1000","0.2500","0.1691"
"3.2000","0.2582","0.1731"
"3.3000","0.2667","0.1781"
"3.4000","0.2752","0.1825"
"3.5000","0.2832","0.1870"
"3.6000","0.2914","0.1915"
"3.7000","0.3001","0.1960"
"3.8000","0.3084","0.2006"
"3.9000","0.3168","0.2049"
"4.0000","0.3253","0.2094"
"4.1000","0.3331","0.2135"
"4.2000","0.3417","0.2180"
"4.3000","0.3501","0.2223"
"4.4000","0.3583","0.2266"
"4.5000","0.3668","0.2310"
"4.6000","0.3751","0.2353"
"4.7000","0.3828","0.2393"
"4.8000","0.3917","0.2438"
"4.9000","0.4001","0.2481"
"5.0000","0.4082","0.2524"
"5.1000","0.4169","0.2566"
"5.2000","0.4252","0.2607"
"5.3000","0.4330","0.2646"
"5.4000","0.4417","0.2692"
"5.5000","0.4499","0.2731"
"5.6000","0.4583","0.2770"
"5.7000","0.4667","0.2814"
"5.8000","0.4747","0.2853"
"5.9000","0.4830","0.2895"
"6.0000","0.4915","0.2935"
"6.1000","0.4998","0.2976"
"6.2000","0.5083","0.3016"
"6.3000","0.5168","0.3058"
"6.4000","0.5247","0.3094"
"6.5000","0.5333","0.3134"
"6.6000","0.5416","0.3172"
"6.7000","0.5499","0.3211"
"6.8000","0.5584","0.3251"
"6.9000","0.5668","0.3289"
"7.0000","0.5747","0.3326"
"7.1000","0.5834","0.3365"
"7.2000","0.5917","0.3402"
"7.3000","0.6001","0.3440"
"7.4000","0.6085","0.3480"
"7.5000","0.6169","0.3516"
"7.6000","0.6249","0.3549"
"7.7000","0.6334","0.3589"
"7.8000","0.6415","0.3623"
"7.9000","0.6502","0.3660"
"8.0000","0.6584","0.3696"
"8.1000","0.6666","0.3732"
"8.2000","0.6748","0.3763"
"8.3000","0.6833","0.3799"
"8.4000","0.6915","0.3835"
"8.5000","0.7002","0.3870"
"8.6000","0.7085","0.3903"
"8.7000","0.7165","0.3937"
"8.8000","0.7251","0.3971"
"8.9000","0.7333","0.4002"
"9.0000","0.7414","0.4035"
"9.1000","0.7502","0.4070"
"9.2000","0.7582","0.4099"
"9.3000","0.7662","0.4129"
"9.4000","0.7749","0.4162"
"9.5000","0.7831","0.4191"
"9.6000","0.7914","0.4219"
"9.7000","0.8003","0.4251"
"9.8000","0.8083","0.4279"
"9.9000","0.8165","0.4305"
"10.0000","0.8250","0.4333"
"10.1000","0.8332","0.4359"
"10.2000","0.8416","0.4384"
"10.3000","0.8502","0.4409"
"10.4000","0.8581","0.4430"
"10.5000","0.8666","0.4450"
"10.6000","0.8750","0.4470"
"10.7000","0.8830","0.4485"
"10.8000","0.8919","0.4504"
"10.9000","0.9003","0.4515"
"11.0000","0.9081","0.4527"
"11.1000","0.9167","0.4533"
"11.2000","0.9251","0.4541"
"11.3000","0.9330","0.4543"
"11.4000","0.9418","0.4545"
"11.5000","0.9500","0.4542"
"11.6000","0.9581","0.4538"
"11.7000","0.9666","0.4534"
"11.8000","0.9749","0.4524"
"11.9000","0.9831","0.4514"
"12.0000","0.9920","0.4505"
"12.1000","1.0000","0.4489"
"12.2000","1.0082","0.4475"
"12.3000","1.0167","0.4458"
"12.4000","1.0249","0.4440"
"12.5000","1.0333","0.4420"
"12.6000","1.0419","0.4404"
"12.7000","1.0498","0.4385"
"12.8000","1.0582","0.4366"
"12.9000","1.0666","0.4350"
"13.0000","1.0748","0.4329"
"13.1000","1.0834","0.4316"
"13.2000","1.0919","0.4302"
"13.3000","1.0999","0.4287"
"13.4000","1.1085","0.4272"
"13.5000","1.1166","0.4259"
"13.6000","1.1247","0.4242"
"13.7000","1.1334","0.4233"
"13.8000","1.1419","0.4222"
"13.9000","1.1498","0.4209"
"14.0000","1.1583","0.4199"
"14.1000","1.1666","0.4188"
"14.2000","1.1748","0.4180"
"14.3000","1.1835","0.4172"
"14.4000","1.1917","0.4161"
"14.5000","1.2000","0.4155"
"14.6000","1.2082","0.4148"
"14.7000","1.2165","0.4139"
"14.8000","1.2248","0.4133"
"14.9000","1.2335","0.4130"
"15.0000","1.2415","0.4121"
"15.1000","1.2500","0.4116"
"15.2000","1.2581","0.4110"
"15.3000","1.2664","0.4105"
"15.4000","1.2750","0.4103"
"15.5000","1.2837","0.4099"
"15.6000","1.2915","0.4093"
"15.7000","1.3001","0.4089"
"15.8000","1.3084","0.4086"
"15.9000","1.3165","0.4078"
"16.0000","1.3251","0.4077"
"16.1000","1.3336","0.4074"
"16.2000","1.3417","0.4071"
"16.3000","1.3500","0.4067"
"16.4000","1.3581","0.4063"
"16.5000","1.3665","0.4060"
"16.6000","1.3751","0.4059"
"16.7000","1.3833","0.4055"
