Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0263"
"0.1000","0.0009","0.0267"
"0.2000","0.0034","0.0281"
"0.3000","0.0166","0.0361"
"0.4000","0.0254","0.0413"
"0.5000","0.0338","0.0466"
"0.6000","0.0420","0.0514"
"0.7000","0.0502","0.0561"
"0.8000","0.0587","0.0613"
"0.9000","0.0670","0.0661"
"1.0000","0.0754","0.0708"
"1.1000","0.0838","0.0757"
"1.2000","0.0919","0.0805"
"1.3000","0.1002","0.0852"
"1.4000","0.1087","0.0901"
"1.5000","0.1171","0.0949"
"1.6000","0.1255","0.0996"
"1.7000","0.1340","0.1046"
"1.8000","0.1418","0.1087"
"1.9000","0.1505","0.1139"
"2.0000","0.1587","0.1183"
"2.1000","0.1669","0.1230"
"2.2000","0.1754","0.1276"
"2.3000","0.1838","0.1325"
"2.4000","0.1914","0.1365"
"2.5000","0.2004","0.1414"
"2.6000","0.2086","0.1457"
"2.7000","0.2170","0.1502"
"2.8000","0.2254","0.1550"
"2.9000","0.2336","0.1593"
"3.0000","0.2416","0.1633"
"3.1000","0.2504","0.1682"
"3.2000","0.2586","0.1722"
"3.3000","0.2672","0.1768"
"3.4000","0.2755","0.1810"
"3.5000","0.2835","0.1850"
"3.6000","0.2918","0.1888"
"3.7000","0.3005","0.1935"
"3.8000","0.3088","0.1973"
"3.9000","0.3172","0.2012"
"4.0000","0.3258","0.2055"
"4.1000","0.3335","0.2088"
"4.2000","0.3421","0.2132"
"4.3000","0.3505","0.2167"
"4.4000","0.3587","0.2204"
"4.5000","0.3672","0.2240"
"4.6000","0.3755","0.2276"
"4.7000","0.3832","0.2306"
"4.8000","0.3921","0.2348"
"4.9000","0.4004","0.2381"
"5.0000","0.4087","0.2413"
"5.1000","0.4173","0.2448"
"5.2000","0.4255","0.2476"
"5.3000","0.4334","0.2506"
"5.4000","0.4421","0.2540"
"5.5000","0.4503","0.2570"
"5.6000","0.4587","0.2602"
"5.7000","0.4671","0.2631"
"5.8000","0.4750","0.2656"
"5.9000","0.4833","0.2685"
"6.0000","0.4919","0.2714"
"6.1000","0.5002","0.2742"
"6.2000","0.5088","0.2771"
"6.3000","0.5172","0.2798"
"6.4000","0.5250","0.2823"
"6.5000","0.5337","0.2850"
"6.6000","0.5420","0.2874"
"6.7000","0.5503","0.2900"
"6.8000","0.5588","0.2927"
"6.9000","0.5672","0.2953"
"7.0000","0.5750","0.2975"
"7.1000","0.5838","0.3003"
"7.2000","0.5921","0.3026"
"7.3000","0.6005","0.3050"
"7.4000","0.6089","0.3074"
"7.5000","0.6173","0.3100"
"7.6000","0.6253","0.3119"
"7.7000","0.6338","0.3143"
"7.8000","0.6418","0.3165"
"7.9000","0.6506","0.3188"
"8.0000","0.6588","0.3211"
"8.1000","0.6669","0.3234"
"8.2000","0.6752","0.3253"
"8.3000","0.6837","0.3278"
"8.4000","0.6918","0.3298"
"8.5000","0.7006","0.3320"
"8.6000","0.7089","0.3343"
"8.7000","0.7169","0.3363"
"8.8000","0.7255","0.3384"
"8.9000","0.7337","0.3405"
"9.0000","0.7418","0.3424"
"9.1000","0.7505","0.3448"
"9.2000","0.7585","0.3465"
"9.3000","0.7666","0.3484"
"9.4000","0.7753","0.3505"
"9.5000","0.7834","0.3526"
"9.6000","0.7918","0.3545"
"9.7000","0.8007","0.3567"
"9.8000","0.8087","0.3586"
"9.9000","0.8169","0.3606"
"10.0000","0.8254","0.3624"
"10.1000","0.8335","0.3643"
"10.2000","0.8420","0.3664"
"10.3000","0.8506","0.3682"
"10.4000","0.8585","0.3699"
"10.5000","0.8669","0.3718"
"10.6000","0.8754","0.3736"
"10.7000","0.8834","0.3753"
"10.8000","0.8923","0.3774"
"10.9000","0.9007","0.3793"
"11.0000","0.9085","0.3806"
"11.1000","0.9171","0.3825"
"11.2000","0.9254","0.3844"
"11.3000","0.9334","0.3858"
"11.4000","0.9422","0.3880"
"11.5000","0.9503","0.3894"
"11.6000","0.9584","0.3911"
"11.7000","0.9670","0.3928"
"11.8000","0.9752","0.3943"
"11.9000","0.9836","0.3957"
"12.0000","0.9924","0.3978"
"12.1000","1.0003","0.3990"
"12.2000","1.0086","0.4009"
"12.3000","1.0171","0.4021"
"12.4000","1.0253","0.4039"
"12.5000","1.0337","0.4054"
"12.6000","1.0422","0.4070"
"12.7000","1.0502","0.4082"
"12.8000","1.0586","0.4097"
"12.9000","1.0670","0.4112"
"13.0000","1.0752","0.4125"
"13.1000","1.0839","0.4143"
"13.2000","1.0923","0.4156"
"13.3000","1.1003","0.4170"
"13.4000","1.1089","0.4183"
"13.5000","1.1170","0.4193"
"13.6000","1.1251","0.4209"
"13.7000","1.1339","0.4221"
"13.8000","1.1422","0.4236"
"13.9000","1.1502","0.4246"
"14.0000","1.1587","0.4259"
"14.1000","1.1669","0.4271"
"14.2000","1.1752","0.4282"
"14.3000","1.1839","0.4295"
"14.4000","1.1920","0.4306"
"14.5000","1.2004","0.4318"
"14.6000","1.2086","0.4326"
"14.7000","1.2168","0.4337"
"14.8000","1.2252","0.4349"
"14.9000","1.2339","0.4361"
"15.0000","1.2418","0.4370"
"15.1000","1.2504","0.4379"
"15.2000","1.2585","0.4388"
"15.3000","1.2668","0.4398"
"15.4000","1.2754","0.4409"
"15.5000","1.2840","0.4417"
"15.6000","1.2919","0.4424"
"15.7000","1.3005","0.4433"
"15.8000","1.3088","0.4441"
"15.9000","1.3168","0.4448"
"16.0000","1.3255","0.4456"
"16.1000","1.3339","0.4462"
"16.2000","1.3421","0.4468"
"16.3000","1.3503","0.4473"
"16.4000","1.3585","0.4478"
"16.5000","1.3669","0.4485"
