Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0274"
"0.1000","0.0008","0.0278"
"0.2000","0.0032","0.0294"
"0.3000","0.0158","0.0369"
"0.4000","0.0249","0.0426"
"0.5000","0.0332","0.0475"
"0.6000","0.0415","0.0526"
"0.7000","0.0496","0.0573"
"0.8000","0.0581","0.0623"
"0.9000","0.0665","0.0672"
"1.0000","0.0749","0.0724"
"1.1000","0.0832","0.0771"
"1.2000","0.0914","0.0822"
"1.3000","0.0996","0.0868"
"1.4000","0.1082","0.0920"
"1.5000","0.1166","0.0970"
"1.6000","0.1249","0.1017"
"1.7000","0.1335","0.1069"
"1.8000","0.1412","0.1114"
"1.9000","0.1500","0.1165"
"2.0000","0.1582","0.1210"
"2.1000","0.1664","0.1258"
"2.2000","0.1748","0.1309"
"2.3000","0.1833","0.1354"
"2.4000","0.1909","0.1398"
"2.5000","0.1999","0.1449"
"2.6000","0.2081","0.1496"
"2.7000","0.2164","0.1543"
"2.8000","0.2248","0.1587"
"2.9000","0.2331","0.1634"
"3.0000","0.2411","0.1680"
"3.1000","0.2499","0.1728"
"3.2000","0.2581","0.1772"
"3.3000","0.2665","0.1817"
"3.4000","0.2750","0.1864"
"3.5000","0.2831","0.1908"
"3.6000","0.2912","0.1950"
"3.7000","0.3000","0.1996"
"3.8000","0.3082","0.2041"
"3.9000","0.3166","0.2084"
"4.0000","0.3252","0.2129"
"4.1000","0.3330","0.2167"
"4.2000","0.3415","0.2208"
"4.3000","0.3499","0.2249"
"4.4000","0.3582","0.2289"
"4.5000","0.3666","0.2328"
"4.6000","0.3750","0.2364"
"4.7000","0.3827","0.2397"
"4.8000","0.3915","0.2440"
"4.9000","0.3999","0.2475"
"5.0000","0.4081","0.2512"
"5.1000","0.4167","0.2550"
"5.2000","0.4250","0.2587"
"5.3000","0.4329","0.2620"
"5.4000","0.4416","0.2662"
"5.5000","0.4498","0.2696"
"5.6000","0.4582","0.2734"
"5.7000","0.4665","0.2772"
"5.8000","0.4746","0.2806"
"5.9000","0.4828","0.2842"
"6.0000","0.4914","0.2880"
"6.1000","0.4996","0.2917"
"6.2000","0.5082","0.2954"
"6.3000","0.5167","0.2993"
"6.4000","0.5246","0.3026"
"6.5000","0.5331","0.3064"
"6.6000","0.5414","0.3103"
"6.7000","0.5497","0.3138"
"6.8000","0.5583","0.3177"
"6.9000","0.5666","0.3212"
"7.0000","0.5745","0.3247"
"7.1000","0.5832","0.3286"
"7.2000","0.5916","0.3321"
"7.3000","0.5999","0.3357"
"7.4000","0.6084","0.3395"
"7.5000","0.6168","0.3430"
"7.6000","0.6248","0.3465"
"7.7000","0.6333","0.3501"
"7.8000","0.6413","0.3533"
"7.9000","0.6500","0.3572"
"8.0000","0.6583","0.3606"
"8.1000","0.6665","0.3641"
"8.2000","0.6746","0.3675"
"8.3000","0.6832","0.3710"
"8.4000","0.6913","0.3742"
"8.5000","0.7000","0.3779"
"8.6000","0.7084","0.3813"
"8.7000","0.7163","0.3846"
"8.8000","0.7249","0.3881"
"8.9000","0.7332","0.3911"
"9.0000","0.7412","0.3943"
"9.1000","0.7500","0.3976"
"9.2000","0.7581","0.4007"
"9.3000","0.7660","0.4038"
"9.4000","0.7747","0.4070"
"9.5000","0.7830","0.4097"
"9.6000","0.7912","0.4128"
"9.7000","0.8001","0.4159"
"9.8000","0.8082","0.4186"
"9.9000","0.8163","0.4211"
"10.0000","0.8248","0.4243"
"10.1000","0.8330","0.4269"
"10.2000","0.8415","0.4292"
"10.3000","0.8500","0.4320"
"10.4000","0.8580","0.4339"
"10.5000","0.8664","0.4362"
"10.6000","0.8749","0.4384"
"10.7000","0.8829","0.4404"
"10.8000","0.8917","0.4425"
"10.9000","0.9001","0.4441"
"11.0000","0.9080","0.4452"
"11.1000","0.9165","0.4464"
"11.2000","0.9249","0.4472"
"11.3000","0.9328","0.4477"
"11.4000","0.9417","0.4484"
"11.5000","0.9499","0.4484"
"11.6000","0.9579","0.4483"
"11.7000","0.9664","0.4483"
"11.8000","0.9747","0.4481"
"11.9000","0.9830","0.4479"
"12.0000","0.9919","0.4480"
"12.1000","0.9998","0.4473"
"12.2000","1.0081","0.4471"
"12.3000","1.0165","0.4467"
"12.4000","1.0248","0.4465"
"12.5000","1.0331","0.4463"
"12.6000","1.0417","0.4460"
"12.7000","1.0496","0.4457"
"12.8000","1.0581","0.4455"
"12.9000","1.0664","0.4451"
"13.0000","1.0746","0.4449"
"13.1000","1.0833","0.4447"
"13.2000","1.0917","0.4443"
"13.3000","1.0997","0.4439"
"13.4000","1.1083","0.4438"
"13.5000","1.1165","0.4434"
"13.6000","1.1245","0.4429"
"13.7000","1.1333","0.4428"
"13.8000","1.1417","0.4424"
"13.9000","1.1497","0.4420"
"14.0000","1.1581","0.4416"
"14.1000","1.1665","0.4412"
"14.2000","1.1747","0.4409"
"14.3000","1.1834","0.4407"
"14.4000","1.1915","0.4401"
"14.5000","1.1998","0.4397"
"14.6000","1.2081","0.4390"
"14.7000","1.2163","0.4389"
"14.8000","1.2247","0.4385"
"14.9000","1.2334","0.4384"
"15.0000","1.2413","0.4376"
"15.1000","1.2499","0.4373"
"15.2000","1.2580","0.4368"
"15.3000","1.2663","0.4363"
"15.4000","1.2748","0.4360"
"15.5000","1.2835","0.4357"
"15.6000","1.2914","0.4353"
"15.7000","1.3000","0.4346"
"15.8000","1.3083","0.4346"
"15.9000","1.3163","0.4339"
"16.0000","1.3249","0.4335"
"16.1000","1.3334","0.4334"
"16.2000","1.3416","0.4329"
"16.3000","1.3498","0.4325"
"16.4000","1.3579","0.4321"
"16.5000","1.3663","0.4317"
"16.6000","1.3749","0.4317"
"16.7000","1.3832","0.4314"
"16.8000","1.3917","0.4310"
"16.9000","1.3999","0.4306"
"17.0000","1.4079","0.4302"
"17.1000","1.4164","0.4298"
"17.2000","1.4252","0.4298"
"17.3000","1.4329","0.4291"
"17.4000","1.4417","0.4290"
"17.5000","1.4496","0.4286"
"17.6000","1.4581","0.4283"
"17.7000","1.4665","0.4281"
"17.8000","1.4750","0.4275"
"17.9000","1.4828","0.4274"
"18.0000","1.4917","0.4274"
"18.1000","1.4997","0.4269"
"18.2000","1.5079","0.4266"
"18.3000","1.5165","0.4264"
"18.4000","1.5249","0.4260"
"18.5000","1.5329","0.4258"
"18.6000","1.5413","0.4256"
"18.7000","1.5495","0.4254"
"18.8000","1.5581","0.4252"
"18.9000","1.5664","0.4251"
"19.0000","1.5750","0.4250"
"19.1000","1.5834","0.4247"
"19.2000","1.5914","0.4242"
"19.3000","1.5996","0.4242"
"19.4000","1.6082","0.4240"
"19.5000","1.6167","0.4236"
"19.6000","1.6248","0.4237"
"19.7000","1.6333","0.4235"
"19.8000","1.6413","0.4232"
"19.9000","1.6497","0.4229"
"20.0000","1.6580","0.4226"
"20.1000","1.6667","0.4229"
"20.2000","1.6748","0.4224"
"20.3000","1.6834","0.4223"
"20.4000","1.6914","0.4219"
"20.5000","1.6998","0.4219"
"20.6000","1.7081","0.4217"
"20.7000","1.7167","0.4217"
"20.8000","1.7249","0.4215"
"20.9000","1.7332","0.4213"
"21.0000","1.7413","0.4208"
"21.1000","1.7498","0.4208"
"21.2000","1.7580","0.4208"
"21.3000","1.7665","0.4204"
"21.4000","1.7750","0.4204"
"21.5000","1.7834","0.4202"
"21.6000","1.7912","0.4198"
"21.7000","1.7997","0.4197"
"21.8000","1.8081","0.4201"
"21.9000","1.8163","0.4198"
"22.0000","1.8249","0.4197"
"22.1000","1.8329","0.4194"
"22.2000","1.8412","0.4190"
"22.3000","1.8497","0.4191"
"22.4000","1.8583","0.4193"
"22.5000","1.8665","0.4188"
"22.6000","1.8752","0.4189"
"22.7000","1.8832","0.4186"
"22.8000","1.8915","0.4184"
"22.9000","1.8998","0.4184"
"23.0000","1.9083","0.4183"
"23.1000","1.9164","0.4182"
"23.2000","1.9248","0.4181"
"23.3000","1.9329","0.4179"
"23.4000","1.9415","0.4177"
"23.5000","1.9497","0.4179"
"23.6000","1.9581","0.4175"
"23.7000","1.9664","0.4175"
"23.8000","1.9751","0.4174"
"23.9000","1.9830","0.4170"
"24.0000","1.9916","0.4172"
"24.1000","1.9999","0.4171"
"24.2000","2.0081","0.4169"
"24.3000","2.0167","0.4172"
"24.4000","2.0247","0.4169"
"24.5000","2.0328","0.4166"
"24.6000","2.0415","0.4168"
"24.7000","2.0500","0.4166"
"24.8000","2.0582","0.4163"
"24.9000","2.0668","0.4163"
"25.0000","2.0748","0.4162"
"25.1000","2.0830","0.4161"
"25.2000","2.0914","0.4160"
"25.3000","2.0998","0.4159"
"25.4000","2.1082","0.4158"
"25.5000","2.1166","0.4158"
"25.6000","2.1246","0.4155"
"25.7000","2.1331","0.4155"
"25.8000","2.1415","0.4154"
"25.9000","2.1498","0.4153"
"26.0000","2.1583","0.4154"
"26.1000","2.1667","0.4152"
"26.2000","2.1747","0.4150"
"26.3000","2.1832","0.4149"
"26.4000","2.1913","0.4147"
"26.5000","2.1997","0.4147"
"26.6000","2.2082","0.4147"
"26.7000","2.2163","0.4146"
"26.8000","2.2245","0.4143"
"26.9000","2.2330","0.4144"
"27.0000","2.2413","0.4140"
"27.1000","2.2499","0.4142"
"27.2000","2.2582","0.4140"
"27.3000","2.2664","0.4140"
"27.4000","2.2746","0.4137"
"27.5000","2.2830","0.4137"
"27.6000","2.2914","0.4136"
"27.7000","2.3000","0.4137"
"27.8000","2.3082","0.4134"
"27.9000","2.3164","0.4133"
"28.0000","2.3248","0.4131"
"28.1000","2.3332","0.4129"
"28.2000","2.3416","0.4126"
"28.3000","2.3501","0.4129"
"28.4000","2.3583","0.4127"
"28.5000","2.3665","0.4123"
"28.6000","2.3748","0.4122"
"28.7000","2.3831","0.4121"
"28.8000","2.3917","0.4120"
"28.9000","2.4000","0.4117"
"29.0000","2.4082","0.4116"
"29.1000","2.4163","0.4111"
"29.2000","2.4247","0.4109"
"29.3000","2.4329","0.4108"
"29.4000","2.4417","0.4107"
"29.5000","2.4502","0.4105"
"29.6000","2.4583","0.4102"
"29.7000","2.4663","0.4097"
"29.8000","2.4749","0.4095"
"29.9000","2.4829","0.4092"
"30.0000","2.4915","0.4090"
"30.1000","2.4999","0.4087"
"30.2000","2.5079","0.4082"
"30.3000","2.5161","0.4081"
"30.4000","2.5247","0.4077"
"30.5000","2.5329","0.4073"
"30.6000","2.5417","0.4074"
"30.7000","2.5499","0.4071"
"30.8000","2.5579","0.4066"
"30.9000","2.5663","0.4064"
"31.0000","2.5748","0.4060"
"31.1000","2.5830","0.4057"
"31.2000","2.5918","0.4056"
"31.3000","2.6000","0.4052"
"31.4000","2.6081","0.4045"
"31.5000","2.6165","0.4045"
"31.6000","2.6248","0.4042"
"31.7000","2.6332","0.4039"
"31.8000","2.6418","0.4037"
"31.9000","2.6500","0.4033"
"32.0000","2.6580","0.4030"
"32.1000","2.6666","0.4028"
"32.2000","2.6747","0.4026"
"32.3000","2.6833","0.4022"
"32.4000","2.6915","0.4017"
"32.5000","2.6997","0.4010"
"32.6000","2.7079","0.4006"
"32.7000","2.7165","0.4003"
"32.8000","2.7245","0.3997"
"32.9000","2.7335","0.3993"
"33.0000","2.7416","0.3985"
"33.1000","2.7497","0.3977"
"33.2000","2.7581","0.3972"
"33.3000","2.7665","0.3963"
"33.4000","2.7746","0.3954"
"33.5000","2.7835","0.3948"
"33.6000","2.7914","0.3938"
"33.7000","2.7996","0.3933"
"33.8000","2.8080","0.3926"
"33.9000","2.8163","0.3921"
"34.0000","2.8247","0.3915"
"34.1000","2.8335","0.3911"
"34.2000","2.8415","0.3901"
"34.3000","2.8497","0.3891"
"34.4000","2.8580","0.3882"
"34.5000","2.8664","0.3867"
"34.6000","2.8750","0.3852"
"34.7000","2.8833","0.3831"
"34.8000","2.8915","0.3808"
"34.9000","2.8997","0.3787"
"35.0000","2.9081","0.3770"
"35.1000","2.9162","0.3748"
"35.2000","2.9251","0.3734"
"35.3000","2.9332","0.3716"
"35.4000","2.9417","0.3700"
"35.5000","2.9497","0.3680"
"35.6000","2.9580","0.3665"
"35.7000","2.9661","0.3644"
"35.8000","2.9751","0.3626"
"35.9000","2.9831","0.3604"
"36.0000","2.9914","0.3587"
"36.1000","2.9995","0.3570"
"36.2000","3.0081","0.3552"
"36.3000","3.0163","0.3538"
"36.4000","3.0251","0.3529"
"36.5000","3.0333","0.3515"
"36.6000","3.0416","0.3502"
"36.7000","3.0498","0.3489"
"36.8000","3.0580","0.3477"
"36.9000","3.0667","0.3469"
"37.0000","3.0750","0.3453"
"37.1000","3.0830","0.3441"
"37.2000","3.0914","0.3431"
"37.3000","3.0998","0.3420"
"37.4000","3.1078","0.3407"
"37.5000","3.1168","0.3401"
"37.6000","3.1250","0.3389"
"37.7000","3.1332","0.3376"
"37.8000","3.1415","0.3362"
"37.9000","3.1499","0.3346"
"38.0000","3.1578","0.3326"
"38.1000","3.1669","0.3307"
"38.2000","3.1748","0.3285"
"38.3000","3.1831","0.3257"
"38.4000","3.1914","0.3228"
"38.5000","3.1997","0.3199"
