Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0219"
"0.1000","0.0007","0.0219"
"0.2000","0.0033","0.0240"
"0.3000","0.0137","0.0320"
"0.4000","0.0242","0.0398"
"0.5000","0.0328","0.0463"
"0.6000","0.0409","0.0525"
"0.7000","0.0491","0.0586"
"0.8000","0.0574","0.0650"
"0.9000","0.0660","0.0713"
"1.0000","0.0740","0.0771"
"1.1000","0.0830","0.0838"
"1.2000","0.0911","0.0897"
"1.3000","0.0992","0.0956"
"1.4000","0.1076","0.1018"
"1.5000","0.1160","0.1076"
"1.6000","0.1241","0.1136"
"1.7000","0.1330","0.1200"
"1.8000","0.1409","0.1256"
"1.9000","0.1491","0.1315"
"2.0000","0.1575","0.1374"
"2.1000","0.1658","0.1434"
"2.2000","0.1744","0.1497"
"2.3000","0.1829","0.1557"
"2.4000","0.1910","0.1614"
"2.5000","0.1991","0.1671"
"2.6000","0.2076","0.1729"
"2.7000","0.2158","0.1787"
"2.8000","0.2245","0.1847"
"2.9000","0.2327","0.1904"
"3.0000","0.2409","0.1960"
"3.1000","0.2491","0.2016"
"3.2000","0.2575","0.2073"
"3.3000","0.2656","0.2128"
"3.4000","0.2746","0.2187"
"3.5000","0.2826","0.2242"
"3.6000","0.2910","0.2298"
"3.7000","0.2991","0.2349"
"3.8000","0.3073","0.2405"
"3.9000","0.3156","0.2458"
"4.0000","0.3245","0.2517"
"4.1000","0.3324","0.2567"
"4.2000","0.3408","0.2621"
"4.3000","0.3489","0.2673"
"4.4000","0.3574","0.2726"
"4.5000","0.3658","0.2776"
"4.6000","0.3745","0.2829"
"4.7000","0.3828","0.2878"
"4.8000","0.3910","0.2926"
"4.9000","0.3993","0.2973"
"5.0000","0.4075","0.3021"
"5.1000","0.4162","0.3069"
"5.2000","0.4244","0.3112"
"5.3000","0.4325","0.3154"
"5.4000","0.4409","0.3199"
"5.5000","0.4493","0.3242"
"5.6000","0.4573","0.3281"
"5.7000","0.4663","0.3326"
"5.8000","0.4745","0.3365"
"5.9000","0.4826","0.3402"
"6.0000","0.4910","0.3440"
"6.1000","0.4993","0.3478"
"6.2000","0.5073","0.3514"
"6.3000","0.5164","0.3552"
"6.4000","0.5241","0.3585"
"6.5000","0.5325","0.3621"
"6.6000","0.5408","0.3656"
"6.7000","0.5491","0.3689"
"6.8000","0.5576","0.3724"
"6.9000","0.5663","0.3760"
"7.0000","0.5741","0.3790"
"7.1000","0.5827","0.3823"
"7.2000","0.5908","0.3856"
"7.3000","0.5988","0.3883"
"7.4000","0.6077","0.3922"
"7.5000","0.6160","0.3950"
"7.6000","0.6239","0.3978"
"7.7000","0.6324","0.4010"
"7.8000","0.6408","0.4040"
"7.9000","0.6489","0.4070"
"8.0000","0.6580","0.4102"
"8.1000","0.6661","0.4130"
"8.2000","0.6744","0.4160"
"8.3000","0.6826","0.4188"
"8.4000","0.6910","0.4216"
"8.5000","0.6991","0.4244"
"8.6000","0.7080","0.4272"
"8.7000","0.7159","0.4298"
"8.8000","0.7242","0.4325"
"8.9000","0.7325","0.4353"
"9.0000","0.7407","0.4380"
"9.1000","0.7492","0.4408"
"9.2000","0.7580","0.4435"
"9.3000","0.7659","0.4458"
"9.4000","0.7745","0.4486"
"9.5000","0.7826","0.4513"
"9.6000","0.7905","0.4533"
"9.7000","0.7994","0.4562"
"9.8000","0.8079","0.4588"
"9.9000","0.8157","0.4609"
"10.0000","0.8243","0.4634"
"10.1000","0.8324","0.4657"
"10.2000","0.8405","0.4679"
"10.3000","0.8495","0.4707"
"10.4000","0.8578","0.4729"
"10.5000","0.8659","0.4750"
"10.6000","0.8743","0.4774"
"10.7000","0.8824","0.4794"
"10.8000","0.8906","0.4816"
"10.9000","0.8993","0.4840"
"11.0000","0.9075","0.4860"
"11.1000","0.9160","0.4881"
"11.2000","0.9241","0.4900"
"11.3000","0.9322","0.4917"
"11.4000","0.9409","0.4942"
"11.5000","0.9495","0.4962"
"11.6000","0.9575","0.4979"
"11.7000","0.9662","0.4999"
"11.8000","0.9743","0.5018"
"11.9000","0.9822","0.5034"
"12.0000","0.9911","0.5053"
"12.1000","0.9995","0.5072"
"12.2000","1.0074","0.5087"
"12.3000","1.0161","0.5109"
"12.4000","1.0240","0.5119"
"12.5000","1.0322","0.5136"
"12.6000","1.0411","0.5157"
"12.7000","1.0494","0.5171"
"12.8000","1.0576","0.5187"
"12.9000","1.0661","0.5204"
"13.0000","1.0740","0.5214"
"13.1000","1.0824","0.5233"
"13.2000","1.0911","0.5248"
"13.3000","1.0993","0.5259"
"13.4000","1.1076","0.5272"
"13.5000","1.1160","0.5285"
"13.6000","1.1239","0.5296"
"13.7000","1.1327","0.5312"
"13.8000","1.1412","0.5322"
"13.9000","1.1493","0.5332"
"14.0000","1.1579","0.5348"
"14.1000","1.1661","0.5353"
"14.2000","1.1740","0.5361"
"14.3000","1.1827","0.5373"
"14.4000","1.1911","0.5383"
"14.5000","1.1992","0.5389"
"14.6000","1.2077","0.5397"
"14.7000","1.2159","0.5402"
"14.8000","1.2239","0.5406"
"14.9000","1.2326","0.5414"
"15.0000","1.2411","0.5420"
"15.1000","1.2492","0.5423"
"15.2000","1.2579","0.5428"
"15.3000","1.2658","0.5429"
"15.4000","1.2742","0.5429"
"15.5000","1.2826","0.5433"
"15.6000","1.2909","0.5431"
"15.7000","1.2992","0.5431"
"15.8000","1.3076","0.5431"
"15.9000","1.3155","0.5426"
"16.0000","1.3242","0.5426"
"16.1000","1.3326","0.5423"
"16.2000","1.3408","0.5423"
"16.3000","1.3493","0.5420"
"16.4000","1.3578","0.5416"
"16.5000","1.3656","0.5410"
"16.6000","1.3743","0.5409"
"16.7000","1.3827","0.5406"
"16.8000","1.3910","0.5401"
"16.9000","1.3993","0.5398"
"17.0000","1.4075","0.5392"
"17.1000","1.4156","0.5388"
"17.2000","1.4244","0.5387"
"17.3000","1.4329","0.5385"
"17.4000","1.4411","0.5380"
"17.5000","1.4496","0.5380"
"17.6000","1.4576","0.5372"
"17.7000","1.4659","0.5370"
"17.8000","1.4744","0.5366"
"17.9000","1.4827","0.5363"
"18.0000","1.4910","0.5359"
"18.1000","1.4993","0.5358"
"18.2000","1.5072","0.5349"
"18.3000","1.5159","0.5349"
"18.4000","1.5242","0.5346"
"18.5000","1.5328","0.5343"
"18.6000","1.5412","0.5343"
"18.7000","1.5495","0.5337"
"18.8000","1.5573","0.5332"
"18.9000","1.5660","0.5332"
"19.0000","1.5741","0.5326"
"19.1000","1.5825","0.5326"
"19.2000","1.5909","0.5321"
"19.3000","1.5991","0.5316"
"19.4000","1.6071","0.5312"
"19.5000","1.6159","0.5315"
"19.6000","1.6241","0.5308"
"19.7000","1.6327","0.5306"
"19.8000","1.6411","0.5307"
"19.9000","1.6491","0.5302"
"20.0000","1.6575","0.5300"
"20.1000","1.6660","0.5299"
"20.2000","1.6740","0.5293"
"20.3000","1.6826","0.5293"
"20.4000","1.6911","0.5293"
"20.5000","1.6989","0.5285"
"20.6000","1.7077","0.5288"
"20.7000","1.7160","0.5286"
"20.8000","1.7243","0.5281"
"20.9000","1.7328","0.5281"
"21.0000","1.7412","0.5279"
"21.1000","1.7491","0.5274"
"21.2000","1.7578","0.5273"
"21.3000","1.7658","0.5272"
"21.4000","1.7743","0.5270"
"21.5000","1.7826","0.5268"
"21.6000","1.7909","0.5266"
"21.7000","1.7989","0.5262"
"21.8000","1.8078","0.5263"
"21.9000","1.8158","0.5260"
"22.0000","1.8244","0.5262"
"22.1000","1.8328","0.5260"
"22.2000","1.8409","0.5253"
"22.3000","1.8491","0.5254"
"22.4000","1.8576","0.5253"
"22.5000","1.8659","0.5251"
"22.6000","1.8743","0.5250"
"22.7000","1.8825","0.5247"
"22.8000","1.8906","0.5245"
"22.9000","1.8991","0.5243"
"23.0000","1.9075","0.5239"
"23.1000","1.9159","0.5242"
"23.2000","1.9245","0.5242"
"23.3000","1.9326","0.5239"
"23.4000","1.9407","0.5235"
"23.5000","1.9492","0.5236"
"23.6000","1.9575","0.5233"
"23.7000","1.9661","0.5233"
"23.8000","1.9744","0.5230"
"23.9000","1.9826","0.5227"
"24.0000","1.9908","0.5224"
"24.1000","1.9993","0.5225"
"24.2000","2.0075","0.5223"
"24.3000","2.0162","0.5223"
"24.4000","2.0243","0.5221"
"24.5000","2.0327","0.5219"
"24.6000","2.0408","0.5218"
"24.7000","2.0491","0.5216"
"24.8000","2.0575","0.5217"
"24.9000","2.0661","0.5216"
"25.0000","2.0742","0.5212"
"25.1000","2.0826","0.5213"
"25.2000","2.0907","0.5208"
"25.3000","2.0992","0.5208"
"25.4000","2.1076","0.5207"
"25.5000","2.1161","0.5207"
"25.6000","2.1244","0.5204"
"25.7000","2.1326","0.5202"
"25.8000","2.1410","0.5200"
"25.9000","2.1492","0.5198"
"26.0000","2.1576","0.5199"
"26.1000","2.1661","0.5199"
"26.2000","2.1743","0.5195"
"26.3000","2.1824","0.5194"
"26.4000","2.1909","0.5194"
"26.5000","2.1992","0.5191"
"26.6000","2.2076","0.5190"
"26.7000","2.2161","0.5190"
"26.8000","2.2243","0.5190"
"26.9000","2.2325","0.5188"
"27.0000","2.2409","0.5186"
"27.1000","2.2492","0.5183"
"27.2000","2.2578","0.5185"
"27.3000","2.2660","0.5183"
"27.4000","2.2743","0.5181"
"27.5000","2.2826","0.5180"
"27.6000","2.2907","0.5179"
"27.7000","2.2990","0.5177"
"27.8000","2.3078","0.5178"
"27.9000","2.3158","0.5174"
"28.0000","2.3242","0.5173"
"28.1000","2.3326","0.5173"
"28.2000","2.3408","0.5170"
"28.3000","2.3490","0.5167"
"28.4000","2.3578","0.5171"
"28.5000","2.3658","0.5166"
"28.6000","2.3740","0.5165"
"28.7000","2.3824","0.5162"
"28.8000","2.3907","0.5163"
"28.9000","2.3993","0.5163"
"29.0000","2.4078","0.5161"
"29.1000","2.4159","0.5161"
"29.2000","2.4244","0.5160"
"29.3000","2.4327","0.5156"
"29.4000","2.4407","0.5154"
"29.5000","2.4495","0.5156"
"29.6000","2.4577","0.5151"
"29.7000","2.4657","0.5149"
"29.8000","2.4742","0.5146"
"29.9000","2.4825","0.5148"
"30.0000","2.4907","0.5146"
"30.1000","2.4994","0.5144"
"30.2000","2.5078","0.5144"
"30.3000","2.5161","0.5143"
"30.4000","2.5244","0.5140"
"30.5000","2.5326","0.5139"
"30.6000","2.5408","0.5137"
"30.7000","2.5495","0.5137"
"30.8000","2.5577","0.5135"
"30.9000","2.5658","0.5132"
"31.0000","2.5741","0.5130"
"31.1000","2.5825","0.5130"
"31.2000","2.5909","0.5129"
"31.3000","2.5994","0.5127"
"31.4000","2.6075","0.5125"
"31.5000","2.6160","0.5127"
"31.6000","2.6241","0.5120"
"31.7000","2.6324","0.5121"
"31.8000","2.6409","0.5122"
"31.9000","2.6493","0.5117"
"32.0000","2.6573","0.5119"
"32.1000","2.6659","0.5115"
"32.2000","2.6740","0.5114"
"32.3000","2.6824","0.5112"
"32.4000","2.6911","0.5115"
"32.5000","2.6994","0.5113"
