Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0349"
"0.1000","0.0015","0.0357"
"0.2000","0.0041","0.0372"
"0.3000","0.0181","0.0455"
"0.4000","0.0265","0.0505"
"0.5000","0.0349","0.0555"
"0.6000","0.0431","0.0605"
"0.7000","0.0514","0.0655"
"0.8000","0.0597","0.0701"
"0.9000","0.0683","0.0751"
"1.0000","0.0766","0.0801"
"1.1000","0.0849","0.0847"
"1.2000","0.0929","0.0892"
"1.3000","0.1015","0.0938"
"1.4000","0.1098","0.0986"
"1.5000","0.1182","0.1033"
"1.6000","0.1265","0.1083"
"1.7000","0.1351","0.1129"
"1.8000","0.1428","0.1175"
"1.9000","0.1517","0.1223"
"2.0000","0.1597","0.1268"
"2.1000","0.1680","0.1315"
"2.2000","0.1764","0.1362"
"2.3000","0.1848","0.1408"
"2.4000","0.1925","0.1452"
"2.5000","0.2015","0.1501"
"2.6000","0.2097","0.1548"
"2.7000","0.2182","0.1594"
"2.8000","0.2264","0.1639"
"2.9000","0.2346","0.1683"
"3.0000","0.2429","0.1730"
"3.1000","0.2515","0.1775"
"3.2000","0.2597","0.1821"
"3.3000","0.2683","0.1867"
"3.4000","0.2766","0.1915"
"3.5000","0.2845","0.1955"
"3.6000","0.2931","0.2000"
"3.7000","0.3016","0.2046"
"3.8000","0.3098","0.2090"
"3.9000","0.3183","0.2136"
"4.0000","0.3268","0.2180"
"4.1000","0.3345","0.2221"
"4.2000","0.3432","0.2267"
"4.3000","0.3514","0.2311"
"4.4000","0.3599","0.2353"
"4.5000","0.3682","0.2396"
"4.6000","0.3765","0.2440"
"4.7000","0.3844","0.2479"
"4.8000","0.3932","0.2524"
"4.9000","0.4015","0.2567"
"5.0000","0.4099","0.2610"
"5.1000","0.4183","0.2653"
"5.2000","0.4265","0.2693"
"5.3000","0.4347","0.2734"
"5.4000","0.4432","0.2779"
"5.5000","0.4514","0.2817"
"5.6000","0.4599","0.2859"
"5.7000","0.4682","0.2901"
"5.8000","0.4760","0.2938"
"5.9000","0.4846","0.2983"
"6.0000","0.4929","0.3022"
"6.1000","0.5014","0.3061"
"6.2000","0.5099","0.3101"
"6.3000","0.5183","0.3140"
"6.4000","0.5262","0.3178"
"6.5000","0.5348","0.3219"
"6.6000","0.5431","0.3258"
"6.7000","0.5515","0.3298"
"6.8000","0.5599","0.3336"
"6.9000","0.5682","0.3374"
"7.0000","0.5762","0.3409"
"7.1000","0.5848","0.3448"
"7.2000","0.5930","0.3488"
"7.3000","0.6016","0.3524"
"7.4000","0.6099","0.3562"
"7.5000","0.6182","0.3597"
"7.6000","0.6265","0.3633"
"7.7000","0.6348","0.3670"
"7.8000","0.6428","0.3704"
"7.9000","0.6517","0.3741"
"8.0000","0.6598","0.3778"
"8.1000","0.6679","0.3811"
"8.2000","0.6763","0.3846"
"8.3000","0.6848","0.3880"
"8.4000","0.6929","0.3912"
"8.5000","0.7017","0.3951"
"8.6000","0.7100","0.3984"
"8.7000","0.7180","0.4015"
"8.8000","0.7266","0.4049"
"8.9000","0.7347","0.4081"
"9.0000","0.7430","0.4114"
"9.1000","0.7516","0.4149"
"9.2000","0.7597","0.4177"
"9.3000","0.7678","0.4207"
"9.4000","0.7764","0.4242"
"9.5000","0.7846","0.4269"
"9.6000","0.7931","0.4298"
"9.7000","0.8017","0.4329"
"9.8000","0.8098","0.4354"
"9.9000","0.8181","0.4384"
"10.0000","0.8265","0.4410"
"10.1000","0.8347","0.4438"
"10.2000","0.8432","0.4462"
"10.3000","0.8516","0.4486"
"10.4000","0.8596","0.4509"
"10.5000","0.8681","0.4532"
"10.6000","0.8764","0.4553"
"10.7000","0.8845","0.4571"
"10.8000","0.8934","0.4592"
"10.9000","0.9016","0.4607"
"11.0000","0.9095","0.4620"
"11.1000","0.9181","0.4632"
"11.2000","0.9264","0.4641"
"11.3000","0.9345","0.4648"
"11.4000","0.9432","0.4651"
"11.5000","0.9514","0.4652"
"11.6000","0.9595","0.4649"
"11.7000","0.9680","0.4641"
"11.8000","0.9763","0.4634"
"11.9000","0.9848","0.4624"
"12.0000","0.9934","0.4607"
"12.1000","1.0014","0.4590"
"12.2000","1.0098","0.4573"
"12.3000","1.0182","0.4553"
"12.4000","1.0264","0.4533"
"12.5000","1.0349","0.4513"
"12.6000","1.0433","0.4492"
"12.7000","1.0513","0.4470"
"12.8000","1.0597","0.4450"
"12.9000","1.0681","0.4431"
"13.0000","1.0763","0.4413"
"13.1000","1.0850","0.4396"
"13.2000","1.0933","0.4380"
"13.3000","1.1015","0.4363"
"13.4000","1.1099","0.4349"
"13.5000","1.1181","0.4332"
"13.6000","1.1263","0.4318"
"13.7000","1.1350","0.4307"
"13.8000","1.1432","0.4294"
"13.9000","1.1514","0.4280"
"14.0000","1.1597","0.4269"
"14.1000","1.1680","0.4259"
"14.2000","1.1763","0.4250"
"14.3000","1.1850","0.4244"
"14.4000","1.1930","0.4232"
"14.5000","1.2015","0.4224"
"14.6000","1.2096","0.4215"
"14.7000","1.2178","0.4207"
