Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0095"
"0.1000","0.0008","0.0100"
"0.2000","0.0032","0.0114"
"0.3000","0.0160","0.0201"
"0.4000","0.0250","0.0260"
"0.5000","0.0334","0.0312"
"0.6000","0.0417","0.0367"
"0.7000","0.0498","0.0422"
"0.8000","0.0583","0.0477"
"0.9000","0.0667","0.0528"
"1.0000","0.0750","0.0584"
"1.1000","0.0834","0.0636"
"1.2000","0.0916","0.0685"
"1.3000","0.0999","0.0740"
"1.4000","0.1083","0.0793"
"1.5000","0.1167","0.0847"
"1.6000","0.1251","0.0897"
"1.7000","0.1336","0.0951"
"1.8000","0.1414","0.0999"
"1.9000","0.1502","0.1055"
"2.0000","0.1584","0.1103"
"2.1000","0.1666","0.1155"
"2.2000","0.1750","0.1209"
"2.3000","0.1834","0.1258"
"2.4000","0.1911","0.1305"
"2.5000","0.2001","0.1361"
"2.6000","0.2082","0.1411"
"2.7000","0.2166","0.1460"
"2.8000","0.2250","0.1510"
"2.9000","0.2333","0.1560"
"3.0000","0.2412","0.1607"
"3.1000","0.2501","0.1662"
"3.2000","0.2582","0.1708"
"3.3000","0.2668","0.1757"
"3.4000","0.2752","0.1806"
"3.5000","0.2832","0.1855"
"3.6000","0.2914","0.1901"
"3.7000","0.3001","0.1951"
"3.8000","0.3084","0.1997"
"3.9000","0.3169","0.2045"
"4.0000","0.3254","0.2095"
"4.1000","0.3331","0.2136"
"4.2000","0.3417","0.2185"
"4.3000","0.3501","0.2231"
"4.4000","0.3583","0.2277"
"4.5000","0.3668","0.2323"
"4.6000","0.3751","0.2369"
"4.7000","0.3829","0.2410"
"4.8000","0.3917","0.2459"
"4.9000","0.4000","0.2505"
"5.0000","0.4083","0.2549"
"5.1000","0.4169","0.2594"
"5.2000","0.4252","0.2635"
"5.3000","0.4331","0.2677"
"5.4000","0.4418","0.2724"
"5.5000","0.4499","0.2763"
"5.6000","0.4584","0.2807"
"5.7000","0.4667","0.2848"
"5.8000","0.4747","0.2888"
"5.9000","0.4830","0.2927"
"6.0000","0.4916","0.2967"
"6.1000","0.4998","0.3010"
"6.2000","0.5084","0.3051"
"6.3000","0.5168","0.3091"
